"filename", "language", "Markdown", "JSON", "Dart", "YAML", "XML", "Swift", "Groovy", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/.vscodecounter/2021-11-27_14-23-43/details.md", "Markdown", -145, 0, 0, 0, 0, 0, 0, 0, -6, -151
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/.vscodecounter/2021-11-27_14-23-43/results.md", "Markdown", -93, 0, 0, 0, 0, 0, 0, 0, -7, -100
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/.vscodecounter/2022-02-03_00-14-06/details.md", "Markdown", 164, 0, 0, 0, 0, 0, 0, 0, 6, 170
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/.vscodecounter/2022-02-03_00-14-06/diff-details.md", "Markdown", 67, 0, 0, 0, 0, 0, 0, 0, 6, 73
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/.vscodecounter/2022-02-03_00-14-06/diff.md", "Markdown", 53, 0, 0, 0, 0, 0, 0, 0, 7, 60
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/.vscodecounter/2022-02-03_00-14-06/results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/.vscodecounter/2022-02-03_00-14-06/results.md", "Markdown", 88, 0, 0, 0, 0, 0, 0, 0, 7, 95
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 14, -2, 1, 13
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, -3, 0, 0, 0, 0, -3
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/backend/asv.json", "JSON", 0, 277400, 0, 0, 0, 0, 0, 0, 1, 277401
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/main.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/providers/daily_devotional_service_provider.dart", "Dart", 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/providers/daily_devotional_today_provider.dart", "Dart", 0, 0, 6, 0, 0, 0, 0, 17, 5, 28
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/providers/youtube_fetch_latest_church_video_future_provider.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 17, 4, 26
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/repositories/streaks_repository.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/ad_state.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/daily_devotional_service.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/sunday_mass_service.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/youtube_service.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/components/bible_reader.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 1, 0, 12
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/components/church_view_banner_ad_card.dart", "Dart", 0, 0, -28, 0, 0, 0, 0, -17, -8, -53
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/components/daily_devotional_card.dart", "Dart", 0, 0, -4, 0, 0, 0, 0, 12, 6, 14
