"filename", "language", "Markdown", "JSON", "YAML", "Dart", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/introduction_view/introduction_view.dart", "Dart", 0, 0, 0, 0, 0, 2, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/login_wrapper.dart", "Dart", 0, 0, 0, 6, 0, 3, 9
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/profile_view/components/bookmarks_card.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/profile_view/components/favorite_verses_card.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/profile_view/components/profile_view_header.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/profile_view/components/settings_card.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/profile_view/profile_view.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/settings_view/components/change_birth_date_card.dart", "Dart", 0, 0, 0, 0, 0, 2, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/settings_view/components/change_first_name_card.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/settings_view/components/change_last_name_card.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/settings_view/settings_view.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/sunday_mass_view/sunday_mass_view.dart", "Dart", 0, 0, 0, 6, -9, 0, -3
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/views/verse_of_the_day_view/verse_of_the_day_view.dart", "Dart", 0, 0, 0, 0, 0, 2, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/pubspec.yaml", "YAML", 0, 0, 1, 0, 0, 0, 1
"Total", "-", 364, 1, 1, 15, -10, 61, 432
