"filename", "language", "Groovy", "YAML", "Dart", "Markdown", "Properties", "XML", "Swift", "C++", "JSON", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/bible_service.dart", "Dart", 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 37, 172
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/daily_readings_service.dart", "Dart", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 13, 70
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/repositories/bible_repository.dart", "Dart", 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 21, 262
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/repositories/bookmarked_chapters_repository.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 12, 43
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/repositories/daily_readings_repository.dart", "Dart", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/services/repositories/last_translation_book_chapter_repository.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 15, 79
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/components/error_body.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/components/unexpected_error.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/bible_books_provider.dart", "Dart", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/bible_chapters_provider.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/ui/providers/bible_repository_provider.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
