"filename", "language", "Markdown", "JSON", "YAML", "Python", "Dart", "Properties", "Groovy", "XML", "C++", "Swift", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/backend/asv.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/backend/bbe.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/backend/kjv.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/backend/web.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/backend/ylt.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/firebase.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/flutter_launcher_icons.yaml", "YAML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/flutter_native_splash.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 60, 10, 73
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 2, 16
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/ios/Runner/Assets.xcassets/LaunchBackground.imageset/Contents.json", "JSON", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 0, 44
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/main.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 17, 13, 77
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/config/bottom_navigation_bar.dart", "Dart", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 17, 6, 73
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/config/constants.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 17, 7, 50
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/config/exceptions.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 17, 6, 68
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/models/book.dart", "Dart", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 17, 15, 95
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/models/chapter.dart", "Dart", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 17, 26, 144
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/models/daily_devotional.dart", "Dart", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 17, 25, 142
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/models/daily_reading.dart", "Dart", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 17, 15, 95
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/models/local_user.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 17, 13, 85
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/models/reading.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 17, 12, 76
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/lib/src/models/translation.dart", "Dart", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 17, 13, 91
