"filename", "language", "Markdown", "YAML", "Dart", "JSON", "Python", "Groovy", "Properties", "Go", "XML", "Swift", "C++", "Makefile", "Shell Script", "Go Checksum File", "Docker", "SQL", "comment", "blank", "total"
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/bible-mariadb/initdb.d/seed.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 327, 90, 60, 477
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/book/handlers.go", "Go", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 77
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/book/models.go", "Go", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/book/repo.go", "Go", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 87
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/book/routes.go", "Go", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/common/translation.go", "Go", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 90
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/core/db.go", "Go", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 56
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/core/handlers.go", "Go", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/core/logger.go", "Go", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/core/models.go", "Go", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/core/router.go", "Go", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/core/routes.go", "Go", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/docker-compose.yml", "YAML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 38
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/genre/handlers.go", "Go", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 49
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/genre/models.go", "Go", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/genre/repo.go", "Go", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 51
"/Users/carltonaikins/Desktop/Home/Programming/projects/elisha/api/genre/routes.go", "Go", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
